complaint_text,category,priority
water colour is black.,Contamination,High
We are not getting water in Whitefield.,Supply,Medium
water stagnation due to blocked drainage.,Drainage,Medium
watr lekng frm pip Indiranagar.,Leakage,Medium
water colour is black.,Contamination,High
Drainage is blocked and overflowing in Basavanagudi.,Drainage,High
bad smll wter cming frm tap.,Contamination,Low
neeralli kachara barthide.,Contamination,Medium
leakage problem since 2 days in Malleswaram.,Leakage,High
Drainage is blocked and overflowing in Hebbal.,Drainage,Medium
neeralli kachara barthide.,Contamination,Medium
watr lekng frm pip Banashankari.,Leakage,Medium
"Drainage block agide, vasane barthide BTM Layout.",Drainage,Low
Sewage water entering the road.,Drainage,Medium
"drnking watr is nt gud, it is plluted.",Contamination,Medium
"Pipe burst in Rajajinagar, water is everywhere.",Leakage,High
Manhole is open and overflowing.,Drainage,High
watr suply is vry bad in Yelahanka.,Supply,Medium
No water supply since 2 days.,Supply,High
"Gutter is blocked, very bad smell.",Drainage,Low
water colour is black.,Contamination,High
drinage blok in frnt of house.,Drainage,Medium
Sewage water entering the road.,Drainage,Medium
watr suply is vry bad in Hebbal.,Supply,Medium
"Water timing is not followed, please fix.",Supply,Low
Water supply illa 2 days inda.,Supply,High
"minor leak, only drops coming out.",Leakage,Low
water pipe odedide Banashankari nalli.,Leakage,High
"Drainage block agide, vasane barthide Banashankari.",Drainage,Low
Water supply illa last night inda.,Supply,High
getting dirty water for drinking.,Contamination,Medium
Mosquitoes increasing because of drainage leak.,Drainage,Medium
Low water pressure today.,Supply,Low
"No leakage, just a few drops coming out in Majestic.",Leakage,Low
drinage blok in frnt of house.,Drainage,Medium
charandi block agide Indiranagar nalli.,Drainage,Medium
neeru barthilla nam manege.,Supply,High
water colour is black.,Contamination,High
"Water timing is not followed, please fix.",Supply,Low
watr suply is vry bad in Whitefield.,Supply,Medium
We are not getting water in Jayanagar.,Supply,Medium
Taps are leaking continuously.,Leakage,Medium
"Water timing is not followed, please fix.",Supply,Low
"drnking watr is nt gud, it is plluted.",Contamination,Medium
"drnking watr is nt gud, it is plluted.",Contamination,Medium
getting dirty water for drinking.,Contamination,Medium
Water is muddy and unhygienic.,Contamination,Medium
only drops coming out from the tap.,Leakage,Low
Water is leaking from the main pipe near Basavanagudi.,Leakage,Medium
Low water pressure today.,Supply,Low
neeralli kachara barthide.,Contamination,Medium
Manhole is open and overflowing.,Drainage,High
neeru barthilla nam manege.,Supply,High
"Water timing is not followed, please fix.",Supply,Low
getting dirty water for drinking.,Contamination,High
watr suply is vry bad in Yelahanka.,Supply,Medium
neeru leak agthide Malleswaram hatra.,Leakage,High
water stagnation due to blocked drainage.,Drainage,Medium
watr suply is vry bad in Banashankari.,Supply,Medium
neeru barthilla nam manege.,Supply,High
Sewage water entering the road.,Drainage,Medium
"No leakage, just a few drops coming out in Basavanagudi.",Leakage,Low
"Neeru galiju agide, kadi neeru barthide.",Contamination,Medium
water stagnation due to blocked drainage.,Drainage,Low
"Water timing is not followed, please fix.",Supply,Low
bad smll wter cming frm tap.,Contamination,Low
Water smells bad and is yellowish.,Contamination,High
Low water pressure today.,Supply,Low
"Neeru galiju agide, kadi neeru barthide.",Contamination,Medium
neeru leak agthide Whitefield hatra.,Leakage,Medium
drain is flul of grabage.,Drainage,Medium
Low water pressure today.,Supply,Low
"drnking watr is nt gud, it is plluted.",Contamination,Medium
Drainage is blocked and overflowing in Yelahanka.,Drainage,High
neeru leak agthide BTM Layout hatra.,Leakage,Medium
Water is leaking from the main pipe near Hebbal.,Leakage,Medium
When will water come today? No supply.,Supply,Medium
Water supply illa yesterday inda.,Supply,High
neeru barthilla nam manege.,Supply,High
getting dirty water for drinking.,Contamination,Medium
bad smll wter cming frm tap.,Contamination,Low
Sewage mixed with drinking water.,Contamination,High
When will water come today? No supply.,Supply,Medium
Sewage mixed with drinking water.,Contamination,High
leakage problem since 2 days in Basavanagudi.,Leakage,High
Drinking water is contaminated in Majestic.,Contamination,Medium
drinage blok in frnt of house.,Drainage,Medium
Kaveri neeru bandilla.,Supply,High
When will water come today? No supply.,Supply,Medium
Water is muddy and unhygienic.,Contamination,Medium
charandi block agide Hebbal nalli.,Drainage,Medium
Water smells bad and is yellowish.,Contamination,High
Sewage mixed with drinking water.,Contamination,High
watr suply is vry bad in Majestic.,Supply,Medium
Manhole is open and overflowing.,Drainage,High
No water supply since yesterday.,Supply,High
no suply of watr since yesterday.,Supply,Medium
drain is flul of grabage.,Drainage,Medium
getting dirty water for drinking.,Contamination,Medium
"No leakage, just a few drops coming out in Indiranagar.",Leakage,Low
charandi block agide Majestic nalli.,Drainage,Medium
watr lekng frm pip Whitefield.,Leakage,Medium
neeralli kachara barthide.,Contamination,Medium
water colour is black.,Contamination,High
Water supply illa morning inda.,Supply,High
water colour is black.,Contamination,High
water colour is black.,Contamination,High
water stagnation due to blocked drainage.,Drainage,Medium
Sewage water entering the road.,Drainage,Medium
neeru leak agthide Banashankari hatra.,Leakage,Medium
Water smells bad and is yellowish.,Contamination,High
Water smells bad and is yellowish.,Contamination,High
Kaveri neeru bandilla.,Supply,High
neeru leak agthide Basavanagudi hatra.,Leakage,Medium
Taps are leaking continuously.,Leakage,Medium
"Neeru galiju agide, kadi neeru barthide.",Contamination,Medium
Mosquitoes increasing because of drainage leak.,Drainage,Medium
Huge water leak at Banashankari.,Leakage,Medium
"Pipe burst in Jayanagar, water is everywhere.",Leakage,High
Water is leaking from the main pipe near Indiranagar.,Leakage,Medium
Water smells bad and is yellowish.,Contamination,High
Taps are leaking continuously.,Leakage,Medium
watr suply is vry bad in Majestic.,Supply,Medium
We are not getting water in Rajajinagar.,Supply,Medium
Manhole is open and overflowing.,Drainage,High
drinage blok in frnt of house.,Drainage,Medium
drain is flul of grabage.,Drainage,Medium
no suply of watr since 1 week.,Supply,High
We are not getting water in Malleswaram.,Supply,Medium
"drnking watr is nt gud, it is plluted.",Contamination,Medium
water pipe odedide Hebbal nalli.,Leakage,High
leakage problem since 2 days in Rajajinagar.,Leakage,High
Sewage mixed with drinking water.,Contamination,High
We are not getting water in Majestic.,Supply,Medium
leakage problem since 2 days in Jayanagar.,Leakage,High
getting dirty water for drinking.,Contamination,Medium
"Neeru galiju agide, kadi neeru barthide.",Contamination,Medium
Water is muddy and unhygienic.,Contamination,Medium
Taps are leaking continuously.,Leakage,Medium
drinage blok in frnt of house.,Drainage,Medium
Sewage water entering the road.,Drainage,Medium
getting dirty water for drinking.,Contamination,Medium
water colour is black.,Contamination,High
We are not getting water in Malleswaram.,Supply,Medium
charandi block agide Banashankari nalli.,Drainage,Medium
We are not getting water in Basavanagudi.,Supply,Medium
"Drainage block agide, vasane barthide Whitefield.",Drainage,Low
"Water timing is not followed, please fix.",Supply,Low
neeralli kachara barthide.,Contamination,Medium
"drnking watr is nt gud, it is plluted.",Contamination,Medium
no suply of watr since last night.,Supply,Medium
Sewage mixed with drinking water.,Contamination,High
"Water timing is not followed, please fix.",Supply,High
Manhole is open and overflowing.,Drainage,Medium
Sewage mixed with drinking water.,Contamination,High
Huge water leak at BTM Layout.,Leakage,Medium
water pipe odedide Banashankari nalli.,Leakage,High
no suply of watr since 1 week.,Supply,High
neeralli kachara barthide.,Contamination,Medium
charandi block agide Indiranagar nalli.,Drainage,Medium
Mosquitoes increasing because of drainage leak.,Drainage,Medium
Mosquitoes increasing because of drainage leak.,Drainage,Medium
Drinking water is contaminated in Koramangala.,Contamination,Medium
watr lekng frm pip Yelahanka.,Leakage,Medium
"minor leak, only drops coming out.",Leakage,Low
no suply of watr since last night.,Supply,High
water colour is black.,Contamination,High
Taps are leaking continuously.,Leakage,Medium
Huge water leak at Malleswaram.,Leakage,Medium
Continuous water leakage in our area Yelahanka.,Leakage,Medium
bad smll wter cming frm tap.,Contamination,Low
only drops coming out from the tap.,Leakage,Low
Water supply illa 1 week inda.,Supply,High
Drinking water is contaminated in Rajajinagar.,Contamination,Medium
Kaveri neeru bandilla.,Supply,High
No water supply since yesterday.,Supply,High
Water smells bad and is yellowish.,Contamination,High
Drainage is blocked and overflowing in Basavanagudi.,Drainage,High
water pipe odedide BTM Layout nalli.,Leakage,High
Huge water leak at Whitefield.,Leakage,Medium
no suply of watr since last night.,Supply,Medium
Drinking water is contaminated in Rajajinagar.,Contamination,Medium
"Drainage block agide, vasane barthide Rajajinagar.",Drainage,Low
Water smells bad and is yellowish.,Contamination,High
neeralli kachara barthide.,Contamination,Medium
water colour is black.,Contamination,High
Kaveri neeru bandilla.,Supply,High
Water supply illa 2 days inda.,Supply,High
only drops coming out from the tap.,Leakage,Low
only drops coming out from the tap.,Leakage,Low
"Gutter is blocked, very bad smell.",Drainage,Low
"Gutter is blocked, very bad smell.",Drainage,Low
neeralli kachara barthide.,Contamination,Medium
When will water come today? No supply.,Supply,Medium
"drnking watr is nt gud, it is plluted.",Contamination,Medium
water stagnation due to blocked drainage.,Drainage,Medium
drain is flul of grabage.,Drainage,Medium
"minor leak, only drops coming out.",Leakage,Low
bad smll wter cming frm tap.,Contamination,Low
water pipe odedide Banashankari nalli.,Leakage,High
Water supply illa 2 days inda.,Supply,High
"drnking watr is nt gud, it is plluted.",Contamination,Medium
Continuous water leakage in our area Indiranagar.,Leakage,Medium
no suply of watr since 1 week.,Supply,High
"minor leak, only drops coming out.",Leakage,Low
"No leakage, just a few drops coming out in Majestic.",Leakage,Low
We are not getting water in Jayanagar.,Supply,Medium
leakage problem since 2 days in Basavanagudi.,Leakage,High
Drainage is blocked and overflowing in Jayanagar.,Drainage,High
Huge water leak at Malleswaram.,Leakage,Medium
No water supply since morning.,Supply,High
"No leakage, just a few drops coming out in Whitefield.",Leakage,Low
Low water pressure today.,Supply,Low
Water supply illa morning inda.,Supply,High
"Drainage block agide, vasane barthide Banashankari.",Drainage,Low
"Pipe burst in Whitefield, water is everywhere.",Leakage,High
"Drainage block agide, vasane barthide Majestic.",Drainage,Low
drain is flul of grabage.,Drainage,Medium
Continuous water leakage in our area Indiranagar.,Leakage,Medium
watr lekng frm pip Malleswaram.,Leakage,Medium
Manhole is open and overflowing.,Drainage,High
Manhole is open and overflowing.,Drainage,High
"Gutter is blocked, very bad smell.",Drainage,Low
Drinking water is contaminated in Banashankari.,Contamination,Medium
Low water pressure today.,Supply,Low
leakage problem since 2 days in Indiranagar.,Leakage,High
Drainage is blocked and overflowing in BTM Layout.,Drainage,High
water colour is black.,Contamination,High
drain is flul of grabage.,Drainage,Medium
no suply of watr since 1 week.,Supply,High
only drops coming out from the tap.,Leakage,Low
Water is leaking from the main pipe near Jayanagar.,Leakage,Medium
"Pipe burst in Jayanagar, water is everywhere.",Leakage,Medium
water colour is black.,Contamination,High
drinage blok in frnt of house.,Drainage,Low
"Water timing is not followed, please fix.",Supply,Low
"No leakage, just a few drops coming out in Indiranagar.",Leakage,Low
Sewage mixed with drinking water.,Contamination,High
Sewage mixed with drinking water.,Contamination,High
Taps are leaking continuously.,Leakage,Medium
drinage blok in frnt of house.,Drainage,Medium
neeru barthilla nam manege.,Supply,Low
water colour is black.,Contamination,High
watr suply is vry bad in Malleswaram.,Supply,Medium
Water smells bad and is yellowish.,Contamination,High
neeru leak agthide Basavanagudi hatra.,Leakage,Medium
no suply of watr since last night.,Supply,Medium
charandi block agide Majestic nalli.,Drainage,Medium
no suply of watr since 1 week.,Supply,High
Low water pressure today.,Supply,Low
watr suply is vry bad in Indiranagar.,Supply,Medium
neeru leak agthide Koramangala hatra.,Leakage,Medium
Water supply illa 2 days inda.,Supply,High
"No leakage, just a few drops coming out in Hebbal.",Leakage,Low
Drainage is blocked and overflowing in Banashankari.,Drainage,High
When will water come today? No supply.,Supply,Medium
watr lekng frm pip BTM Layout.,Leakage,Medium
water stagnation due to blocked drainage.,Drainage,Medium
No water supply since last night.,Supply,High
pype brst at Rajajinagar.,Leakage,Medium
Continuous water leakage in our area Whitefield.,Leakage,Medium
leakage problem since 2 days in Banashankari.,Leakage,High
Drainage is blocked and overflowing in Majestic.,Drainage,High
water stagnation due to blocked drainage.,Drainage,Low
drinage blok in frnt of house.,Drainage,Medium
neeru barthilla nam manege.,Supply,High
watr lekng frm pip Rajajinagar.,Leakage,Medium
Manhole is open and overflowing.,Drainage,High
We are not getting water in Majestic.,Supply,Medium
neeru leak agthide Rajajinagar hatra.,Leakage,Medium
Mosquitoes increasing because of drainage leak.,Drainage,Medium
neeralli kachara barthide.,Contamination,Medium
No water supply since yesterday.,Supply,High
charandi block agide Indiranagar nalli.,Drainage,Medium
Water is muddy and unhygienic.,Contamination,Medium
water stagnation due to blocked drainage.,Drainage,Medium
Water is leaking from the main pipe near Yelahanka.,Leakage,Medium
Water is muddy and unhygienic.,Contamination,Medium
watr suply is vry bad in Basavanagudi.,Supply,Low
Water is leaking from the main pipe near Jayanagar.,Leakage,Medium
no suply of watr since last night.,Supply,Medium
water pipe odedide Hebbal nalli.,Leakage,High
no suply of watr since 2 days.,Supply,High
"Pipe burst in Rajajinagar, water is everywhere.",Leakage,High
only drops coming out from the tap.,Leakage,Low
water colour is black.,Contamination,High
Kaveri neeru bandilla.,Supply,High
No water supply since morning.,Supply,High
drinage blok in frnt of house.,Drainage,Medium
No water supply since last night.,Supply,High
Drainage is blocked and overflowing in Jayanagar.,Drainage,High
"Pipe burst in Majestic, water is everywhere.",Leakage,High
water stagnation due to blocked drainage.,Drainage,Medium
Drainage is blocked and overflowing in Koramangala.,Drainage,Low
neeru leak agthide Jayanagar hatra.,Leakage,Medium
Taps are leaking continuously.,Leakage,Medium
Water supply illa morning inda.,Supply,High
no suply of watr since 2 days.,Supply,High
water colour is black.,Contamination,High
drinage blok in frnt of house.,Drainage,Medium
Low water pressure today.,Supply,Low
Low water pressure today.,Supply,Low
Sewage water entering the road.,Drainage,Medium
charandi block agide BTM Layout nalli.,Drainage,Medium
"Pipe burst in Banashankari, water is everywhere.",Leakage,High
"Pipe burst in Yelahanka, water is everywhere.",Leakage,High
"Water timing is not followed, please fix.",Supply,Low
Sewage mixed with drinking water.,Contamination,High
"drnking watr is nt gud, it is plluted.",Contamination,Medium
"Neeru galiju agide, kadi neeru barthide.",Contamination,Medium
no suply of watr since yesterday.,Supply,Medium
Drainage is blocked and overflowing in Majestic.,Drainage,High
water stagnation due to blocked drainage.,Drainage,Medium
No water supply since morning.,Supply,High
"Pipe burst in Indiranagar, water is everywhere.",Leakage,High
"No leakage, just a few drops coming out in Yelahanka.",Leakage,Low
leakage problem since 2 days in BTM Layout.,Leakage,Low
Taps are leaking continuously.,Leakage,Medium
Continuous water leakage in our area Koramangala.,Leakage,Medium
watr lekng frm pip Hebbal.,Leakage,Medium
Manhole is open and overflowing.,Drainage,Low
neeru barthilla nam manege.,Supply,High
Kaveri neeru bandilla.,Supply,High
Drinking water is contaminated in Hebbal.,Contamination,Medium
watr lekng frm pip Whitefield.,Leakage,Medium
Water is leaking from the main pipe near Majestic.,Leakage,Medium
Huge water leak at Basavanagudi.,Leakage,Medium
neeru leak agthide Majestic hatra.,Leakage,Medium
"Pipe burst in Koramangala, water is everywhere.",Leakage,High
Water is muddy and unhygienic.,Contamination,Medium
water colour is black.,Contamination,High
We are not getting water in Malleswaram.,Supply,Medium
water pipe odedide Hebbal nalli.,Leakage,High
Manhole is open and overflowing.,Drainage,High
Low water pressure today.,Supply,Low
drinage blok in frnt of house.,Drainage,Medium
charandi block agide Rajajinagar nalli.,Drainage,Medium
water stagnation due to blocked drainage.,Drainage,Medium
Mosquitoes increasing because of drainage leak.,Drainage,Medium
Sewage water entering the road.,Drainage,Medium
neeralli kachara barthide.,Contamination,Medium
neeralli kachara barthide.,Contamination,Medium
no suply of watr since last night.,Supply,Medium
Mosquitoes increasing because of drainage leak.,Drainage,Medium
"Pipe burst in Indiranagar, water is everywhere.",Leakage,High
"Drainage block agide, vasane barthide Malleswaram.",Drainage,Low
charandi block agide Basavanagudi nalli.,Drainage,Medium
no suply of watr since 2 days.,Supply,High
watr suply is vry bad in Rajajinagar.,Supply,Medium
"Pipe burst in Yelahanka, water is everywhere.",Leakage,High
When will water come today? No supply.,Supply,Medium
Low water pressure today.,Supply,Low
"Neeru galiju agide, kadi neeru barthide.",Contamination,Medium
We are not getting water in Malleswaram.,Supply,Medium
"minor leak, only drops coming out.",Leakage,Low
drain is flul of grabage.,Drainage,Medium
"minor leak, only drops coming out.",Leakage,Low
leakage problem since 2 days in Indiranagar.,Leakage,High
getting dirty water for drinking.,Contamination,Medium
bad smll wter cming frm tap.,Contamination,Low
drinage blok in frnt of house.,Drainage,Medium
leakage problem since 2 days in Whitefield.,Leakage,High
Water is leaking from the main pipe near Hebbal.,Leakage,Medium
When will water come today? No supply.,Supply,Medium
"No leakage, just a few drops coming out in Basavanagudi.",Leakage,Low
Sewage mixed with drinking water.,Contamination,High
Low water pressure today.,Supply,Low
"No leakage, just a few drops coming out in BTM Layout.",Leakage,Low
"Water timing is not followed, please fix.",Supply,Low
Water is muddy and unhygienic.,Contamination,Medium
drinage blok in frnt of house.,Drainage,Medium
getting dirty water for drinking.,Contamination,Medium
Water is muddy and unhygienic.,Contamination,Medium
Taps are leaking continuously.,Leakage,Medium
No water supply since yesterday.,Supply,High
Water smells bad and is yellowish.,Contamination,High
water colour is black.,Contamination,High
When will water come today? No supply.,Supply,Medium
Mosquitoes increasing because of drainage leak.,Drainage,Medium
Manhole is open and overflowing.,Drainage,High
Taps are leaking continuously.,Leakage,Medium
Water supply illa morning inda.,Supply,High
neeru leak agthide BTM Layout hatra.,Leakage,Medium
Drainage is blocked and overflowing in Malleswaram.,Drainage,High
No water supply since yesterday.,Supply,High
No water supply since morning.,Supply,High
neeru barthilla nam manege.,Supply,High
Water is muddy and unhygienic.,Contamination,Medium
"Gutter is blocked, very bad smell.",Drainage,Low
Sewage mixed with drinking water.,Contamination,High
watr lekng frm pip Jayanagar.,Leakage,Medium
Water is leaking from the main pipe near Koramangala.,Leakage,Medium
water colour is black.,Contamination,High
Continuous water leakage in our area Majestic.,Leakage,Medium
drinage blok in frnt of house.,Drainage,Medium
"Pipe burst in Indiranagar, water is everywhere.",Leakage,High
"Neeru galiju agide, kadi neeru barthide.",Contamination,Medium
Manhole is open and overflowing.,Drainage,High
Kaveri neeru bandilla.,Supply,High
drain is flul of grabage.,Drainage,Medium
